song_title,artist,track_id
Somewhere I Belong,Linkin Park,6hYPKPe5I3aVJSlTYwGbDU
We Don't Run,Bon Jovi,5ITV0zqzjOYfFWpW0xBmRa
Waiting For Love,Avicii,2A1aS3mwuGuX2yk1bgxOvA
Glad You Came (The Sun Goes Down the Stars Come Out),The Worst Cover Band Of The World,6xSzZ2CqIjpP78L3osGClx
LOST IN THE ECHO,Linkin Park,1fDsrQ23eTAVFElUMaf38X
BURN IT DOWN,Linkin Park,74tLlkN3rgVzRqQJgPfink
Awake and Alive,Skillet,0GRc3eGTg8HBdWLRGYgqIc
CASTLE OF GLASS,Linkin Park,4ZMkvjr7y8M9Jv3lN87lff
New Divide,Linkin Park,6gQAyT7B7cYGTRBOiFdQUS
Until It's Gone,Linkin Park,0mEdbdeRFQwBhN4xfyIeUM
Breaking the Habit,Linkin Park,5w0HXnVCQlqe8UFY3Mbgbs
Del Estadio Al Cielo,Morat,1ro2R1fewLh2IQaR9pWF5T
Pushing Me Away,Linkin Park,1QJXSDGoo4VnidjBvLjQqw
With You,Linkin Park,0k2GOhqsrxDTAbFFSdNJjT
Points of Authority,Linkin Park,7I3RalBqE7ZE0RSxgGlGlm
