track_id,title,artist
52itZ0w0CydihB2JCZEIft,Pee Loon,"Pritam, Mohit Chauhan, Irshad Kamil"
2S6N9pbnkhQRyAx80HmF79,"Banjaara (From ""Ek Villain"")",Mohammed Irfan
6qNyL8lZuqFmy9ginJRQOZ,Tumse Hi Tumse,"Vishal-Shekhar, Shekhar Ravjiani, Caralisa Monteiro"
4BOYIpYF7zTYtAkpjoD687,,
1We89SAonMk70QBbfXERxa,,
4TkknEEgy9mpbDtSA9ZrKV,"Ae Zindagi Gale Laga Le - Take, 1","Ilaiyaraaja, Amit Trivedi, Arijit Singh"
6bdpj89aYEBjhpsenXAsmO,Enna Sona,"A.R. Rahman, Arijit Singh"
3APdIdF8H0jsxSuGOqXedS,Kabhi Kabhi Aditi,Rashid Ali
00juIvfvPtZ0CfAMwEkHaV,,
0zuqABAUKs8WLVq8vCmfst,,
5PvwPy5eRO8BPwpRzCHK3D,Sunn Raha Hai (Male Version),Ankit Tiwari
3BT7mrC5dG4mTA7gnHfUtt,Don't Give Up On Me (From FIve Feet Apart),Riley Johns
7uNnlVit5qDvfOje0pqICF,Tum Ho,"Mohit Chauhan, Suzanne D'Mello"
0up9rhm9qt2LW7cnoDFCMk,Jiyein Kyun,"Pritam, Papon"
4QK1qv4mgsfdWmMzp1Z3fx,Khoj (Passing By),When Chai Met Toast
5Q58RkKyUafm15Syxg79DW,Sham,"Amit Trivedi, Nikhil D'Souza, Neuman Pinto"
3vqJY3pVELLIxqXXyI08yr,Roobaroo,"A.R. Rahman, Naresh Iyer"
32765xcLM1fd6wQIpkN9A0,Hasi - Male Version,"Ami Mishra, Kunaal Vermaa"
2uy15favOgEOtS8wjAD9B1,Tum Ho Toh,Farhan Akhtar
7qjPdb8WFUit028zS49TY6,Mera Mann-Yahin Hoon Main,Ayushmann Khurrana
6f3ANRNQ8nCiPZ6VqXqq93,Main Rahoon Ya Na Rahoon,"Amaal Mallik, Armaan Malik, Rashmi Virag"
723xQva0yBF7M6K3nDAG8R,Sooraj Ki Baahon Mein,"Dominique Cerejo, Clinton Cerejo, Loy Mendonsa"
55LK166LWHOpXOroZ5g82J,,
5upmbnXemLfPvs3d2eyHml,Sajdaa,"Shankar-Ehsaan-Loy, Rahat Fateh Ali Khan, Shankar Mahadevan, Richa Sharma"
7F8RNvTQlvbeBLeenycvN6,Kun Faya Kun,"A.R. Rahman, Javed Ali, Mohit Chauhan"
4gkqGoKI311ayrtcvYaFTz,"Bawara Mann (From ""Jolly Ll.B 2"")","Jubin Nautiyal, Neeti Mohan"
18YHbIhrleUkKKj2DvEp79,Zara Sa,"Pritam, KK"
16BGhwv8wYXkv2mMJF7ryv,,
189DQylImZ1hGZaIpAQUzx,Moh Moh Ke Dhaage (Male),"Anu Malik, Papon, Varun Grover"
4JQxGJ8jsKW8pOUVoAgOZr,,
298atiKYvG84VfbXNbZiX5,Adhoore,"Vishal-Shekhar, Vishal Dadlani, Alyssa Mendonsa"
1ai3itvPFcWilE9NX0JTCf,Mera Mann Kehne Laga,Falak Shabbir
1FRcg84SSGxJTsIR16z4AU,"Kya Karoon? (From ""Wake Up Sid "")","Shankar-Ehsaan-Loy, Clinton Cerejo, Dominique Cerejo, Loy Mendonsa"
4w90JoFrkoYfxe4S8DWD7T,"Jaane Kyun (From ""Dostana"")","Vishal-Shekhar, Vishal Dadlani"
1xaj4bm3GMthtoZHUfepl1,Ye Tumhari Meri Baatein,Dominique
5nHwX7e5XHnie22nuTFgda,Dil Kyun Yeh Mera,KK
3kuxr8U3QynLzyW82p5hYR,Aas Paas Khuda,"Vishal-Shekhar, Rahat Fateh Ali Khan"
78HEXs4YB5SE9JgTHOUdDw,Der Lagi Lekin,Shankar Mahadevan
6YycppSAeGtSvwmu8qCcr2,In Dino,"Pritam, Soham"
6nZiYSBwPQ7fYnVWkkkj4g,,
2r1CHpKRDdzHGJScn5UqjX,Dil Chahta Hai,Shankar Mahadevan
7IjnfuMNfdrAXbefurdIIR,Socha Hai,Farhan Akhtar
6wZJsut8fjiWiMPaccRAOX,Udd Gaye - Bacardi House Party Sessions,Ritviz
